ID,Tribe,Genus,Stage,Rep,GenusStage
11,Polyglyptini,Ech,Ad,2,EchAd
12,Polyglyptini,Ech,Ad,1,EchAd
13,Polyglyptini,Ech,Ad,1,EchAd
14,Polyglyptini,Ech,Ad,2,EchAd
15,Polyglyptini,Ech,Ad,3,EchAd
23,Membracini,Mem,Ad,1,MemAd
24,Membracini,Mem,Ad,2,MemAd
25,Membracini,Mem,Ad,3,MemAd
26,Membracini,Mem,Ad,4,MemAd
27,Membracini,Mem,Ad,5,MemAd
28,Membracini,Mem,Ad,6,MemAd
29,Membracini,Mem,Ad,7,MemAd
30,Membracini,Mem,Ad,8,MemAd
31,Polyglyptini,Met,Ad,1,MetAd
54,Polyglyptini,Met,Ad,10,MetAd
55,Polyglyptini,Met,Ad,11,MetAd
56,Polyglyptini,Met,Ad,12,MetAd
57,Polyglyptini,Met,Ad,2,MetAd
58,Polyglyptini,Met,Ad,3,MetAd
59,Polyglyptini,Met,Ad,4,MetAd
60,Polyglyptini,Met,Ad,5,MetAd
61,Polyglyptini,Met,Ad,6,MetAd
62,Polyglyptini,Met,Ad,7,MetAd
63,Polyglyptini,Met,Ad,8,MetAd
64,Polyglyptini,Met,Ad,9,MetAd
65,Polyglyptini,Pol,Ad,1,PolAd
66,Polyglyptini,Pol,Ad,2,PolAd
77,Polyglyptini,Pol,Ad,3,PolAd
80,Polyglyptini,Pol,Ad,4,PolAd
81,Polyglyptini,Pol,Ad,5,PolAd
82,Polyglyptini,Pol,Ad,6,PolAd
83,Polyglyptini,Pol,Ad,7,PolAd
84,Polyglyptini,Pol,Ad,8,PolAd
