ID,Tribe,Genus,Stage,Rep,GenusStage
,Aetalionini,Aet,Ad,2,AetAd
,Aetalionini,Aet,Ad,3,AetAd
,Aetalionini,Aet,Ad,4,AetAd
,Aetalionini,Aet,Ad,5,AetAd
,Aetalionini,Aet,Ad,6,AetAd
,Polyglyptini,Ech,Ad,6,EchAd
,Polyglyptini,Ech,Ad,7,EchAd
,Polyglyptini,Ech,Ad,8,EchAd
,Polyglyptini,Ech,Ad,9,EchAd
,Polyglyptini,Ech,Ad,10,EchAd
,Polyglyptini,Ech,Ad,11,EchAd
,Polyglyptini,Ech,Ad,12,EchAd
,Polyglyptini,Ech,Ad,13,EchAd
,Polyglyptini,Ech,Ad,14,EchAd
,Polyglyptini,Ech,Ad,15,EchAd
,Polyglyptini,Ech,Ad,16,EchAd
,Polyglyptini,Ech,Ad,17,EchAd
,Polyglyptini,Ech,Ad,18,EchAd
,Polyglyptini,Ech,Ad,19,EchAd
,Membracini,Mem,Ad,9,MemAd
,Membracini,Mem,Ad,10,MemAd
,Polyglyptini,Pol,Ad,6,PolAd
,Polyglyptini,Pol,Ad,7,PolAd
,Polyglyptini,Pol,Ad,8,PolAd
,Polyglyptini,Pol,Ad,9,PolAd
,Polyglyptini,Pol,Ad,10,PolAd
,Polyglyptini,Pol,Ad,11,PolAd
,Polyglyptini,Pol,Ad,12,PolAd
,Polyglyptini,Pol,Ad,13,PolAd
,Polyglyptini,Met,1,6,Met1
,Polyglyptini,Met,1,7,Met1
,Polyglyptini,Met,1,8,Met1
,Polyglyptini,Met,1,9,Met1
,Polyglyptini,Met,1,10,Met1
,Polyglyptini,Met,1,11,Met1
,Polyglyptini,Met,1,12,Met1
,Polyglyptini,Met,1,13,Met1
,Polyglyptini,Met,1,14,Met1
,Polyglyptini,Met,1,15,Met1
,Polyglyptini,Met,2,6,Met2
,Polyglyptini,Met,2,7,Met2
,Polyglyptini,Met,2,8,Met2
,Polyglyptini,Met,2,9,Met2
,Polyglyptini,Met,2,10,Met2
,Polyglyptini,Met,2,11,Met2
,Polyglyptini,Met,2,12,Met2
,Polyglyptini,Met,2,13,Met2
,Polyglyptini,Met,2,14,Met2
,Polyglyptini,Met,2,15,Met2
,Polyglyptini,Aet,5,6,Aet5
,Polyglyptini,Aet,5,7,Aet5
,Polyglyptini,Aet,5,8,Aet5
,Polyglyptini,Aet,5,9,Aet5
,Polyglyptini,Aet,5,10,Aet5
,Polyglyptini,Ech,5,6,Ech5
,Polyglyptini,Ech,5,7,Ech5
,Polyglyptini,Ech,5,8,Ech5
,Polyglyptini,Ech,5,10,Ech5
,Polyglyptini,Pol,5,6,Pol5
,Polyglyptini,Pol,5,7,Pol5
,Polyglyptini,Pol,5,8,Pol5
,Polyglyptini,Pol,5,9,Pol5
,Polyglyptini,Pol,4,6,Pol4
,Polyglyptini,Pol,4,7,Pol4
,Polyglyptini,Pol,4,8,Pol4
