ID,Tribe,Genus,Stage,Rep,GenusStage
0,,Aet,3,1,Aet3
1,,Aet,3,2,Aet3
2,,Aet,3,3,Aet3
4,,Aet,3,4,Aet3
5,,Aet,3,5,Aet3
6,,Aet,3,6,Aet3
7,,Aet,3,7,Aet3
8,,Aet,3,8,Aet3
9,,Aet,3,9,Aet3
10,,Aet,3,10,Aet3
11,,Ech,3,1,Ech3
12,,Ech,3,2,Ech3
13,,Ech,3,3,Ech3
14,,Ech,3,4,Ech3
15,,Ech,3,5,Ech3
16,,Eca,3,1,Eca3
17,,Eca,3,2,Eca3
18,,Eca,3,3,Eca3
19,,Eca,3,4,Eca3
20,,Eca,3,5,Eca3
21,,Eca,3,6,Eca3
22,,Eca,3,7,Eca3
23,,Eca,3,8,Eca3
24,,Eca,3,9,Eca3
25,,Eca,3,10,Eca3
26,,Mem,4,1,Mem4
27,,Mem,4,2,Mem4
28,,Mem,4,3,Mem4
29,,Mem,4,4,Mem4
30,,Mem,4,5,Mem4
31,,Mem,4,6,Mem4
32,,Mem,4,7,Mem4
33,,Mem,4,8,Mem4
34,,Mem,4,9,Mem4
35,,Met,3,1,Met3
36,,Met,3,2,Met3
37,,Met,3,3,Met3
38,,Met,3,4,Met3
39,,Met,3,5,Met3
40,,Met,3,6,Met3
41,,Pol,3,1,Pol3
42,,Pol,3,2,Pol3
43,,Pol,3,3,Pol3
44,,Pol,3,4,Pol3
45,,Pol,3,5,Pol3
